"Libya","House of Representatives","200"
"Liechtenstein","Diet","25"
"Lithuania","Parliament","141"
"Luxembourg","Chamber of Deputies","60"
"Madagascar","National Assembly","151"
"Malawi","National Assembly","193"
"Malaysia","House of Representatives","223"
"Maldives","People's Majlis","85"
"Mali","National Assembly","147"
"Malta","House of Representatives","65"
"Marshall Islands","Parliament","33"
"Mauritania","National Assembly","157"
"Mauritius","National Assembly","69"
"Mexico","Chamber of Deputies","500"
"Micronesia (Federated States of)","Congress","14"
"Monaco","National Council","24"
"Mongolia","State Great Hural","76"
"Montenegro","Parliament","81"
"Morocco","House of Representatives","395"
"Mozambique","Assembly of the Republic","250"
"Myanmar","House of Representatives","440"
"Namibia","National Assembly","104"
"Nauru","Parliament","19"
"Nepal","House of Representatives","275"
"Netherlands","House of Representatives","150"
"New Zealand","House of Representatives","120"
"Nicaragua","National Assembly","92"
"Niger","National Assembly","171"
"Nigeria","House of Representatives","360"
"Norway","Parliament","169"
"Oman","Consultative Council","85"
"Pakistan","National Assembly","342"
"Palau","House of Delegates","16"
"Panama","National Assembly","71"
"Papua New Guinea","National Parliament","111"
"Paraguay","Chamber of Deputies","80"
"Peru","Congress of the Republic","130"
"Philippines","House of Representatives","297"
"Poland","Sejm","460"
"Portugal","Assembly of the Republic","230"
"Qatar","Shura Council","41"
"Republic of Korea","National Assembly","300"
"Republic of Moldova","Parliament","101"
"Romania","Chamber of Deputies","329"
"Russian Federation","State Duma","450"
"Rwanda","Chamber of Deputies","80"
"Saint Kitts and Nevis","National Assembly","15"
"Saint Lucia","House of Assembly","18"
"Saint Vincent and the Grenadines","House of Assembly","23"
"Samoa","Legislative Assembly","50"
"San Marino","Great and General Council","60"
"Sao Tome and Principe","National Assembly","55"
"Saudi Arabia","Shura Council","151"
"Senegal","National Assembly","165"
"Serbia","National Assembly","250"
"Seychelles","National Assembly","35"
"Sierra Leone","Parliament","146"
"Singapore","Parliament","101"
"Slovakia","National Council","150"
"Slovenia","National Assembly","90"
"Solomon Islands","National Parliament","50"
"Somalia","House of the People","275"
"South Africa","National Assembly","400"
"South Sudan","Transitional National Legislative Assembly","400"
"Spain","Congress of Deputies","350"
"Sri Lanka","Parliament","225"
"Sudan","National Assembly","426"
"Suriname","National Assembly","51"
"Sweden","Parliament","349"
"Switzerland","National Council","200"
"Syrian Arab Republic","People's Assembly","250"
"Tajikistan","House of Representatives","63"
"Thailand","National Legislative Assembly","250"
"The former Yugoslav Republic of Macedonia","Assembly of the Republic","123"
"Timor-Leste","National Parliament","65"
"Togo","National Assembly","91"
"Tonga","Legislative Assembly","30"
"Trinidad and Tobago","House of Representatives","42"
"Tunisia","Assembly of People's Representatives","217"
"Turkey","Grand National Assembly of Turkey","600"
"Turkmenistan","Assembly","125"
"Tuvalu","Parliament of Tuvalu","15"
"Uganda","Parliament","465"
"Ukraine","Parliament","450"
"United Arab Emirates","Federal National Council","40"
"United Kingdom","House of Commons","650"
"United Republic of Tanzania","National Assembly","393"
"United States of America","House of Representatives","435"
"Uruguay","House of Representatives","99"
"Uzbekistan","Legislative Chamber","150"
"Vanuatu","Parliament","52"
"Venezuela (Bolivarian Republic of)","National Assembly","167"
"Viet Nam","National Assembly","500"
"Yemen","House of Representatives","301"
"Zambia","National Assembly","167"
"Zimbabwe","National Assembly","270"
